lat,lon
6.5902109,79.9591448
6.591998,79.9590649
6.6711683,79.9251053
6.6690912,79.9260142
6.6672862,79.9267812
6.6658913,79.9275034
6.6652902,79.9277347
6.6642116,79.92816
6.6632311,79.9286429
6.6610755,79.929517
6.6609765,79.9295614
6.6603149,79.929871
6.6597528,79.9301074
6.659082,79.930403
6.6585056,79.9306541
6.6579592,79.9308649
6.6575222,79.9310359
6.6568923,79.9312773
6.6562827,79.9315188
6.654526,79.9323452
6.6542523,79.9324788
6.6532245,79.9329855
6.6517927,79.9336865
6.6512554,79.9339379
6.6508036,79.9341493
6.6502431,79.9343943
6.6495782,79.9346281
6.6488974,79.9348185
6.6473184,79.9352816
6.6461604,79.9356127
6.6451815,79.9358948
6.6440868,79.9362455
6.6432579,79.9365378
6.642651,79.936772
6.6419673,79.9370335
6.6408618,79.9374659
6.6390544,79.9381758
6.6377505,79.9386066
6.6366772,79.9389471
6.6360945,79.9391285
6.6355252,79.9393233
6.6355031,79.9393309
6.6354476,79.9393492
6.6348536,79.9395387
6.6336844,79.93996
6.6329328,79.9401911
6.6325393,79.9403172
6.6314838,79.9406792
6.6306442,79.9409435
6.6294791,79.9413417
6.6262255,79.9424026
6.6251056,79.9427984
6.6232227,79.943408
6.6225426,79.9436303
6.6221909,79.943749
6.6219229,79.9438372
6.6216762,79.9439352
6.6213931,79.9440559
6.6199634,79.94482
6.618697,79.9455309
6.6171031,79.946405
6.6156417,79.9472192
6.6153715,79.9473483
6.6149855,79.9475017
6.6144851,79.9476844
6.6139948,79.9478558
6.6139817,79.9478603
6.6129556,79.9482132
6.6114546,79.9487387
6.610975,79.9489232
6.6104722,79.9491216
6.6100463,79.9493019
6.6096003,79.9495249
6.608611,79.9500775
6.6077986,79.9505292
6.6063699,79.9512978
6.6047826,79.9521897
6.6034255,79.9530024
6.6027046,79.9534476
6.6019481,79.9538888
6.6014231,79.9541936
6.6012196,79.9543105
6.6003022,79.9548739
6.5994108,79.9553997
6.5976683,79.9564743
6.5968465,79.9569147
6.5962582,79.9572007
6.594551,79.9580605
6.5937312,79.9585256
6.5933235,79.9587335
6.5931426,79.958803
6.5927801,79.9589295
6.592395,79.9590193
6.6824726,79.9184025
6.6820193,79.9187166
6.6808323,79.9196794
6.6791152,79.9208956
6.6784561,79.9213732
6.6781642,79.921585
